Step,stilted-sweep-20,bright-sweep-19,fast-sweep-18,grateful-sweep-17,fearless-sweep-16,solar-sweep-15,dainty-sweep-14,stellar-sweep-13,bumbling-sweep-12,charmed-sweep-11,flowing-sweep-10,youthful-sweep-9,rose-sweep-6,hopeful-sweep-7,exalted-sweep-8,elated-sweep-4,youthful-sweep-3,azure-sweep-2,easy-sweep-5,quiet-sweep-1
0,0.556961715221405,0.556961715221405,0.556961715221405,0.556961715221405,0.556961715221405,0.36024683713912964,0.36024683713912964,0.36024683713912964,0.36024683713912964,0.36024683713912964,0.20746813714504242,0.20746813714504242,0.20746813714504242,0.20746813714504242,0.20746813714504242,0.05807944014668465,0.05807944014668465,0.05807944014668465,0.05807944014668465,0.05807944014668465
1,0.5093170404434204,0.5093170404434204,0.5093170404434204,0.5093170404434204,0.5093170404434204,0.19177398085594177,0.19177398085594177,0.19177398085594177,0.19177398085594177,0.19177398085594177,0.10209163278341293,0.10209163278341293,0.10209163278341293,0.10209163278341293,0.10209163278341293,0.07194327563047409,0.07194327563047409,0.07194327563047409,0.07194327563047409,0.07194327563047409
2,0.4534507393836975,0.4534507393836975,0.4534507393836975,0.4534507393836975,0.4534507393836975,0.12405569106340408,0.12405569106340408,0.12405569106340408,0.12405569106340408,0.12405569106340408,0.10146671533584595,0.10146671533584595,0.10146671533584595,0.10146671533584595,0.10146671533584595,0.12586945295333862,0.12586945295333862,0.12586945295333862,0.12586945295333862,0.12586945295333862
3,0.43269941210746765,0.43269941210746765,0.43269941210746765,0.43269941210746765,0.43269941210746765,0.12636658549308777,0.12636658549308777,0.12636658549308777,0.12636658549308777,0.12636658549308777,0.09814950823783875,0.09814950823783875,0.09814950823783875,0.09814950823783875,0.09814950823783875,0.10228618234395981,0.10228618234395981,0.10228618234395981,0.10228618234395981,0.10228618234395981
4,0.41076260805130005,0.41076260805130005,0.41076260805130005,0.41076260805130005,0.41076260805130005,0.12553058564662933,0.12553058564662933,0.12553058564662933,0.12553058564662933,0.12553058564662933,0.09520726650953293,0.09520726650953293,0.09520726650953293,0.09520726650953293,0.09520726650953293,0.0937270075082779,0.0937270075082779,0.0937270075082779,0.0937270075082779,0.0937270075082779
5,0.3891117572784424,0.3891117572784424,0.3891117572784424,0.3891117572784424,0.3891117572784424,0.12466195970773697,0.12466195970773697,0.12466195970773697,0.12466195970773697,0.12466195970773697,0.09251789003610611,0.09251789003610611,0.09251789003610611,0.09251789003610611,0.09251789003610611,0.090845987200737,0.090845987200737,0.090845987200737,0.090845987200737,0.090845987200737
6,0.36795735359191895,0.36795735359191895,0.36795735359191895,0.36795735359191895,0.36795735359191895,0.12378431856632233,0.12378431856632233,0.12378431856632233,0.12378431856632233,0.12378431856632233,0.09005160629749298,0.09005160629749298,0.09005160629749298,0.09005160629749298,0.09005160629749298,0.0891273096203804,0.0891273096203804,0.0891273096203804,0.0891273096203804,0.0891273096203804
7,0.3475106358528137,0.3475106358528137,0.3475106358528137,0.3475106358528137,0.3475106358528137,0.12288378924131393,0.12288378924131393,0.12288378924131393,0.12288378924131393,0.12288378924131393,0.08780819922685623,0.08780819922685623,0.08780819922685623,0.08780819922685623,0.08780819922685623,0.08753310889005661,0.08753310889005661,0.08753310889005661,0.08753310889005661,0.08753310889005661
8,0.3279779255390167,0.3279779255390167,0.3279779255390167,0.3279779255390167,0.3279779255390167,0.12194905430078506,0.12194905430078506,0.12194905430078506,0.12194905430078506,0.12194905430078506,0.0857803151011467,0.0857803151011467,0.0857803151011467,0.0857803151011467,0.0857803151011467,0.08594231307506561,0.08594231307506561,0.08594231307506561,0.08594231307506561,0.08594231307506561
9,0.3095485270023346,0.3095485270023346,0.3095485270023346,0.3095485270023346,0.3095485270023346,0.12097257375717163,0.12097257375717163,0.12097257375717163,0.12097257375717163,0.12097257375717163,0.0839470624923706,0.0839470624923706,0.0839470624923706,0.0839470624923706,0.0839470624923706,0.08439330011606216,0.08439330011606216,0.08439330011606216,0.08439330011606216,0.08439330011606216
